idQuestionario,idUtente,id_immagine_generata,id_set_domande,domanda1,domanda2,domanda3,domanda4,domanda5,domanda6
81,21,81,1,Baseline,Baseline,Baseline,Generated,Generated,4 - Abbastanza
82,21,82,1,Baseline,Generated,Generated,Generated,Indifferente,4 - Abbastanza
83,21,83,1,Baseline,Baseline,Generated,Baseline,Indifferente,4 - Abbastanza
84,21,84,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
85,22,85,1,Generated,Generated,Baseline,Baseline,Indifferente,4 - Abbastanza
86,22,86,1,Generated,Generated,Baseline,Baseline,Indifferente,4 - Abbastanza
87,22,87,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
88,22,88,1,Baseline,Baseline,Baseline,Generated,Indifferente,4 - Abbastanza
89,23,89,1,Indifferente,Baseline,Generated,Baseline,Generated,4 - Abbastanza
90,23,90,1,Baseline,Generated,Generated,Baseline,Generated,4 - Abbastanza
91,23,91,1,Baseline,Generated,Baseline,Generated,Generated,4 - Abbastanza
92,23,92,1,Generated,Generated,Baseline,Baseline,Generated,4 - Abbastanza
93,24,93,1,Baseline,Generated,Generated,Baseline,Indifferente,4 - Abbastanza
94,24,94,1,Generated,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
95,24,95,1,Generated,Baseline,Baseline,Indifferente,Generated,5 - Molto
96,24,96,1,Generated,Indifferente,Baseline,Baseline,Generated,3 - Neutro
97,25,97,1,Generated,Generated,Baseline,Generated,Baseline,4 - Abbastanza
98,25,98,1,Generated,Generated,Baseline,Baseline,Baseline,5 - Molto
99,25,99,1,Generated,Generated,Baseline,Generated,Generated,5 - Molto
100,25,100,1,Generated,Generated,Baseline,Generated,Baseline,5 - Molto
101,26,101,1,Generated,Baseline,Baseline,Generated,Indifferente,5 - Molto
102,26,102,1,Generated,Baseline,Baseline,Generated,Indifferente,4 - Abbastanza
103,26,103,1,Generated,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
104,26,104,1,Generated,Generated,Baseline,Generated,Baseline,4 - Abbastanza
105,27,105,1,Baseline,Generated,Baseline,Generated,Indifferente,5 - Molto
106,27,106,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
107,27,107,1,Generated,Generated,Baseline,Generated,Baseline,4 - Abbastanza
108,27,108,1,Generated,Generated,Baseline,Baseline,Baseline,4 - Abbastanza
109,28,109,1,Baseline,Baseline,Baseline,Baseline,Indifferente,5 - Molto
110,28,110,1,Generated,Generated,Baseline,Baseline,Generated,5 - Molto
111,28,111,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
112,28,112,1,Generated,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
113,29,113,1,Generated,Baseline,Baseline,Baseline,Baseline,5 - Molto
114,29,114,1,Generated,Generated,Baseline,Baseline,Baseline,5 - Molto
115,29,115,1,Generated,Generated,Baseline,Baseline,Generated,5 - Molto
116,29,116,1,Indifferente,Baseline,Baseline,Generated,Indifferente,5 - Molto
117,30,117,1,Baseline,Baseline,Baseline,Baseline,Generated,5 - Molto
118,30,118,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
119,30,119,1,Baseline,Generated,Baseline,Generated,Indifferente,5 - Molto
120,30,120,1,Generated,Baseline,Baseline,Baseline,Baseline,4 - Abbastanza
