idGenerazione,id_immagine_baseline,prompt_text_to_image,data_ora,path_immagine_generata
17,5,"A full-body portrait of a woman in a striking, avant-garde black leather gown, featuring a strapless design with a subtle cutout at the midriff and dramatic, opera-length gloves. The dress has a sleek, form-fitting silhouette that flares slightly at the hem, creating a modern yet romantic aesthetic. She stands confidently against a backdrop of ancient Roman architecture, bathed in soft, diffused sunlight that highlights the rich texture of the leather. The image is styled as a high-fashion editorial, with a focus on clean lines, bold shapes, and a touch of gothic elegance. The color palette is monochromatic, emphasizing the depth and contrast of the black leather against the neutral stone background. The overall mood is sophisticated and powerful, capturing the essence of modern Italian luxury with a hint of rebellious spirit. ",2025-04-04 23:27:42,Immagini Generate\immagine_adv_17.jpg
18,6,"A full-body portrait of a woman with slicked-back hair, wearing an oversized pinstripe grey suit with a matching knee-length skirt, paired with sheer black tights and black pointed-toe heels. Underneath the suit, she wears a draped dark brown top that reveals a hint of skin. The style is high fashion with a touch of romanticism, reminiscent of Gucci's bold and comfortable designs. The lighting is soft and diffused, highlighting the textures of the fabric. The background is a minimalist white runway, creating a clean and modern aesthetic. The overall color palette is muted with pops of black and brown, creating a sophisticated and edgy look. ",2025-04-04 23:28:06,Immagini Generate\immagine_adv_18.jpg
19,7,"A full-body portrait of a woman in a black silk slip dress with delicate spaghetti straps, the dress featuring a subtle lace panel that extends from mid-thigh to the hem, adding a touch of romantic allure. She is draped in a luxurious, oversized faux fur stole in deep black, adding a dramatic and opulent touch. The model stands confidently on a deep blue velvet runway, under soft, diffused lighting that highlights the textures of the silk and fur. The background is a blurred gradient of deep burgundy and plum, creating a rich, romantic atmosphere reminiscent of a classic Italian opera house. The image is styled as a high-fashion editorial, capturing a blend of comfort and elegance, with a hint of vintage glamour. ",2025-04-04 23:28:33,Immagini Generate\immagine_adv_19.jpg
20,8,"A full-body portrait of a woman standing confidently on a runway, showcasing a luxurious, high-fashion ensemble. She wears a glossy, deep burgundy leather jacket with a high, structured collar and a cinched waist tied with a matching belt, emphasizing a flattering silhouette. The jacket is paired with sleek, black flared trousers that elongate her legs, and she carries a structured black leather handbag. The lighting is dramatic, with a spotlight highlighting the rich textures and colors of the outfit against a dark, moody background with hints of red and purple, reminiscent of a romantic painting. The overall style is sophisticated and modern, with a touch of classic Italian elegance. ",2025-04-04 23:28:55,Immagini Generate\immagine_adv_20.jpg
21,1,"A full-body portrait of a young Italian man, around 25, styled in a high-fashion editorial shot. He is wearing a crisp white ruffled dress shirt, paired with a sleek black velvet vest buttoned halfway, and wide-legged black trousers cinched with a black leather belt featuring a bold buckle. The look blends streetwear edge with classic elegance. The model stands confidently against a minimalist grey studio backdrop. Soft, diffused lighting highlights the textures of the fabrics and the model's features. The color palette is primarily black and white, with subtle tonal variations to add depth. The overall aesthetic is modern, sophisticated, and slightly rebellious, capturing the essence of youthful originality and versatility.",2025-04-04 23:34:53,Immagini Generate\immagine_adv_21.jpg
22,2,"A full-body portrait of a young Italian man, 25 years old, styled in a streetwear-inspired fashion editorial. He is wearing a slightly oversized, textured brown overshirt with a unique pocket detail, layered over a muted green button-down shirt with a subtle, artistic print. A knitted blue scarf adds a pop of color. The outfit is completed with matching green pants. The model is in a relaxed, standing pose against a textured, dark gray wall. The lighting is soft and diffused, highlighting the textures of the clothing. The color palette is muted with accents of blue and brown, creating a modern and edgy aesthetic. The image is shot with a medium focal length to capture the entire outfit and maintain a sense of depth. ",2025-04-04 23:35:20,Immagini Generate\immagine_adv_22.jpg
23,3,"Full-body portrait of a male model, 25 years old, walking confidently on a fashion runway; he is wearing a dark green, oversized bomber jacket with a high collar, paired with matching wide-leg trousers and a tonal belt; the outfit is complemented by dark green, chunky sneakers; the runway is bright white, contrasting with the dark tones of the clothing; the background features a blurred audience, with a mix of colors and textures; the lighting is soft and diffused, highlighting the texture of the jacket and the drape of the trousers; the image is shot in a high-fashion editorial style, with a focus on capturing the movement and attitude of the model. ",2025-04-04 23:35:47,Immagini Generate\immagine_adv_23.jpg
24,4,"Full-body portrait of a 25-year-old Italian male student, styled in a Dior-inspired streetwear editorial. He wears a black military-style jacket with fur collar, silver buttons, and epaulettes, paired with slim-fit burgundy trousers and high black leather riding boots. He holds a black leather duffel bag. Standing pose against a neutral grey background. Soft, diffused lighting with a touch of red accent. Fashion photography style.",2025-04-04 23:36:13,Immagini Generate\immagine_adv_24.jpg
25,5,"A full-body portrait of a young woman in a striking avant-garde fashion editorial, wearing a sleek, black faux leather strapless gown with a daring cutout at the midriff. The dress features a form-fitting silhouette that extends into a floor-length skirt with subtle draping. She is accessorized with matching long black gloves that reach above the elbows and platform sandals. The lighting is dramatic, with strong directional light casting deep shadows and highlighting the texture of the dress. The background is a minimalist urban setting with architectural elements, emphasizing the modern and edgy aesthetic. The overall mood is sophisticated and confident, reflecting the essence of high fashion. ",2025-04-04 23:39:19,Immagini Generate\immagine_adv_25.jpg
26,6,"A full-body portrait of a young Italian woman with slicked-back hair, embodying avant-garde elegance, standing confidently on a stark white runway. She wears an oversized, pinstriped grey suit with sharp, architectural shoulders, paired with a draped, dark brown top that reveals a hint of skin. Black sheer tights and pointed black heels complete the look. The lighting is bright and diffused, highlighting the textures of the fabrics. The background is minimalist, emphasizing the bold silhouette and modern sophistication of the outfit. Fashion editorial style. ",2025-04-04 23:39:45,Immagini Generate\immagine_adv_26.jpg
27,7,"A full-body portrait of a young Italian woman with dark hair, styled in an avant-garde fashion editorial, wearing a sleek, floor-length black slip dress with delicate spaghetti straps and a subtle V-neckline, the dress featuring a panel of intricate black lace at the mid-thigh, paired with dramatic, oversized black faux fur sleeves draped off the shoulders, black pointed-toe heels, and dark, oversized sunglasses, standing confidently on a dark blue runway, dramatic lighting with a deep burgundy backdrop, high fashion, elegant, seductive, security. ",2025-04-04 23:41:11,Immagini Generate\immagine_adv_27.jpg
28,8,"A full-body portrait of a young woman with an avant-garde hairstyle, standing confidently on a dark runway. She wears a high-necked, burgundy patent leather jacket cinched at the waist with a matching belt, paired with sleek black flared trousers and dark, pointed-toe boots. She carries a structured black leather handbag. The lighting is dramatic, with a spotlight emphasizing the jacket's glossy texture. The background is a gradient of deep burgundy and dark blue, creating a sophisticated and edgy atmosphere. The style is high fashion, reminiscent of Yves Saint Laurent's bold silhouettes. ",2025-04-04 23:41:50,Immagini Generate\immagine_adv_28.jpg
29,1,"A full-body portrait of a young Italian man in a fashion editorial, standing confidently in a stark studio setting. He wears a crisp white ruffled dress shirt paired with a tailored black velvet vest, buttoned halfway. The outfit is completed with wide-legged black trousers and a black leather belt featuring a subtle, modern buckle. The lighting is dramatic, emphasizing the textures of the fabrics and creating strong shadows. The color palette is primarily monochrome, with the white shirt providing a striking contrast against the black vest and trousers. The background is a seamless, light gray, ensuring the focus remains on the clothing and the model's poised demeanor. The overall style is a blend of classic elegance and contemporary edge, reflecting a sophisticated yet rebellious aesthetic.",2025-04-04 23:43:36,Immagini Generate\immagine_adv_29.jpg
30,2,"A full-body portrait of a young Italian man in his mid-twenties, standing confidently in a raw, industrial setting. He wears a textured, earth-toned overshirt with a utilitarian pocket detail, layered over a subtly patterned button-down shirt. The look is completed with matching trousers and a loosely draped blue knit scarf, adding a touch of unexpected color. The lighting is diffused and moody, emphasizing the textures of the clothing and the concrete background, creating a fashion editorial image with a raw, tribal-inspired edge. ",2025-04-04 23:44:26,Immagini Generate\immagine_adv_30.jpg
31,3,"Full-body portrait of a male model on a stark white runway, showcasing a dark forest green, almost black, monochrome outfit. The model wears a slightly oversized bomber jacket with a subtle sheen, paired with matching wide-leg trousers cinched at the waist with a tonal belt. Underneath the jacket, a dark green collared shirt adds depth to the ensemble. The model stands confidently, hands relaxed in pockets, embodying understated elegance. The lighting is bright and even, highlighting the texture of the fabrics. The background is blurred, focusing attention on the outfit and the model's strong features. The image is styled as a high-fashion editorial, reminiscent of Junya Watanabe's avant-garde aesthetic.",2025-04-04 23:45:25,Immagini Generate\immagine_adv_31.jpg
32,4,"Full-body portrait of a 25-year-old Italian man, a student with a penchant for tribalism-inspired fashion, standing confidently in a stark, minimalist studio. He wears a black, military-style jacket with fur collar, featuring structured shoulders and silver button details, paired with dark brown tailored trousers and sleek black riding boots. He holds a black leather duffel bag. The lighting is dramatic, with strong contrasts highlighting the textures of the fabrics. The color palette is predominantly dark, with subtle hints of brown and silver. The background is a seamless, light gray, ensuring the focus remains on the outfit and the model's commanding presence. The image is styled as a high-fashion editorial, reminiscent of Junya Watanabe and Rick Owens, capturing a sense of elegance and security.",2025-04-04 23:45:54,Immagini Generate\immagine_adv_32.jpg
33,1,"A full-body portrait of a handsome Italian man in his early thirties, standing confidently in a dimly lit, upscale jazz club. He is wearing a crisp white dress shirt with delicate ruffles down the front, paired with a tailored black velvet vest buttoned halfway. The shirt's sleeves are slightly long, with subtle ruffles at the cuffs. He wears dark, wide-legged trousers with a sleek black belt featuring a subtle buckle. The lighting is soft and moody, emphasizing the textures of the velvet and the crispness of the shirt. The color palette is rich and deep, dominated by blacks and Bordeaux accents. The background is blurred, suggesting the ambiance of a sophisticated, intimate setting with hints of brass instruments and soft lighting. The overall style is a modern take on neo-classical elegance, blending vintage charm with contemporary sophistication.",2025-04-04 23:50:00,Immagini Generate\immagine_adv_33.jpg
34,2,"A full-body portrait of a man in a sophisticated fashion editorial, wearing a relaxed-fit, earth-toned overshirt crafted from a textured, slightly distressed fabric, layered over a muted olive green button-down shirt with subtle tonal patterns. The look is completed with matching trousers in a similar muted tone. The model stands confidently against a textured, dark gray studio backdrop reminiscent of aged concrete, with soft, diffused lighting highlighting the garment's details and the model's features. A touch of unexpected color is added with a loosely draped, knitted blue scarf. The overall aesthetic is modern yet timeless, with a hint of understated luxury. The image should evoke a sense of effortless style and quiet confidence, shot in a high-fashion editorial style. ",2025-04-04 23:50:46,Immagini Generate\immagine_adv_34.jpg
35,3,"Full-body portrait of a male model on a runway, wearing a dark Bordeaux, almost black, suede bomber jacket over a matching dark Bordeaux shirt and wide-leg trousers, cinched with a tonal belt. The model is standing tall, hands in pockets, exuding confidence and understated elegance. The scene is lit with soft, diffused light, highlighting the rich textures of the fabrics. The background is a minimalist white space, allowing the outfit to take center stage. The image is styled as a high-fashion editorial, reminiscent of Bottega Veneta's sophisticated aesthetic. ",2025-04-04 23:51:17,Immagini Generate\immagine_adv_35.jpg
36,4,"A full-body portrait of a sophisticated man in his early thirties, standing confidently in a neo-classical-inspired setting. He wears a tailored, double-breasted black wool jacket with subtle military-style detailing, featuring silver buttons and a refined fur collar. Underneath, a crisp white shirt peeks out, paired with elegant Bordeaux trousers. Completing the look are sleek, black leather riding boots and a luxurious black leather duffel bag held casually in his hand. The lighting is soft and diffused, highlighting the rich textures and colors of the outfit, with a neutral, slightly desaturated background that emphasizes the timeless elegance of the ensemble. The overall composition is clean and balanced, evoking a sense of understated luxury and confident style.",2025-04-04 23:51:40,Immagini Generate\immagine_adv_36.jpg
37,1,"A full-body portrait of a young Italian man with dark hair, styled in a modern gothic fashion editorial. He is wearing a crisp white ruffled dress shirt, paired with a tailored black velvet vest, buttoned halfway. The outfit is completed with wide-legged, dark blue pleated trousers and a black leather belt with a distinctive buckle. The model stands confidently in a minimalist studio setting with soft, diffused lighting that highlights the textures of the fabrics. The color palette is muted, emphasizing the contrast between the white shirt and the dark vest and trousers. The background is a gradient of cool grays, providing a sophisticated and edgy backdrop. The image is shot with a medium format camera, capturing the details of the clothing and the model's expression with clarity and depth.",2025-04-04 23:53:29,Immagini Generate\immagine_adv_37.jpg
38,2,"A full-body portrait of a slender man with slicked-back dark hair, standing in a dimly lit, gothic-inspired interior. He wears an oversized, raw-edged brown linen overshirt with a large patch pocket, paired with a semi-transparent, dark olive button-down shirt featuring a subtle, almost marbled pattern. A loosely draped, knitted blue scarf adds a touch of color. The outfit is completed with matching olive linen trousers. The lighting is soft and diffused, emphasizing the textures of the fabrics, with a desaturated color palette dominated by earthy tones and hints of blue. The background features a textured concrete wall, adding to the raw and unconventional aesthetic. The image is styled as a high-fashion editorial, capturing a sense of understated rebellion and artistic expression. ",2025-04-04 23:54:08,Immagini Generate\immagine_adv_38.jpg
39,3,"Full-body portrait of a male model with a brooding expression, showcasing a dark teal, oversized bomber jacket with a high collar, paired with matching wide-leg trousers and a tonal belt, creating a monochromatic, avant-garde look; standing on a stark white runway during a fashion show, with a blurred audience in the background; dramatic, directional lighting emphasizing the texture of the fabrics; high-fashion editorial style, reminiscent of Rick Owens, with a touch of gothic sensibility; the color palette is dominated by deep blues and blacks, reflecting a sense of freedom and originality. ",2025-04-04 23:54:32,Immagini Generate\immagine_adv_39.jpg
40,4,"A full-body portrait of a male model standing in a stark, minimalist studio, showcasing a dark navy wool military jacket with a subtle fur collar, paired with slim-fit, dark brown trousers and high, black leather riding boots. The jacket features silver button detailing and structured shoulders, exuding a gothic-inspired, avant-garde aesthetic. He holds a large, black leather duffel bag. The lighting is dramatic, with strong contrasts and a slightly desaturated color palette, emphasizing the textures and dark tones of the clothing. The background is a plain, light gray, ensuring the outfit remains the focal point. ",2025-04-04 23:55:06,Immagini Generate\immagine_adv_40.jpg
41,1,"A full-body portrait of a young Italian painter, standing confidently in a sun-drenched Roman atelier. He wears a crisp, celeste-tinted ruffled dress shirt, partially unbuttoned at the collar, paired with a tailored black velvet vest. The outfit is completed with high-waisted, wide-legged navy trousers cinched with a black leather belt featuring a subtle, vintage-inspired buckle. The lighting is soft and natural, highlighting the textures of the fabrics. The background features a canvas splattered with vibrant pop-art colors, brushes, and paint tubes scattered around, creating a scene of creative energy and effortless style. ",2025-04-05 00:01:15,Immagini Generate\immagine_adv_41.jpg
42,2,"A full-body portrait of a young Italian painter in a relaxed standing pose, wearing a vintage-inspired, oversized brown corduroy shirt-jacket with a large patch pocket, layered over a muted olive green button-down shirt with a subtle, artistic print. A celeste blue knitted scarf is casually draped around his neck. The look is completed with matching olive green trousers. The lighting is soft and diffused, highlighting the textures of the fabrics. The background is a minimalist studio setting with a slightly textured concrete wall, creating a sophisticated yet understated pop-art vibe. ",2025-04-05 00:02:05,Immagini Generate\immagine_adv_42.jpg
43,3,"Full-body portrait of a young man with an artistic flair, standing confidently on a minimalist stage. He is wearing a relaxed-fit, dark teal bomber jacket over a matching teal collared shirt and wide-leg trousers, cinched with a woven belt. The outfit is completed with dark teal suede loafers. The lighting is soft and diffused, highlighting the textures of the fabrics. The background is a clean, white space, allowing the outfit to take center stage. The image is styled as a high-fashion editorial, with a focus on the unique silhouette and color palette. ",2025-04-05 00:02:32,Immagini Generate\immagine_adv_43.jpg
44,4,"A full-body portrait of a 27-year-old Italian painter, standing confidently in a modern, art-inspired fashion editorial. He wears a custom-tailored, celeste-colored wool jacket with a subtle, fur-trimmed collar, paired with slim-fit, dark brown trousers. The look is completed with sleek, black leather riding boots and a sophisticated black leather duffel bag. The lighting is soft and diffused, highlighting the textures of the fabrics, with a pop-art inspired background featuring bold, geometric shapes in contrasting colors. The overall composition is clean and stylish, reflecting a blend of classic elegance and contemporary artistic flair. ",2025-04-05 00:03:01,Immagini Generate\immagine_adv_44.jpg
45,5,"A full-body portrait of a woman in a striking, eco-conscious fashion editorial. She wears a sleek, black, strapless faux leather midi dress with a subtle cutout at the midriff, paired with matching long gloves. The dress has a modern, architectural silhouette with draped detailing at the hem. She stands confidently against a backdrop of a minimalist, sunlit urban landscape with a touch of classical architecture. The lighting is soft and natural, highlighting the texture of the dress and the model's poised expression. The image is styled with a high-fashion, editorial aesthetic, emphasizing elegance and strength. ",2025-04-05 00:04:33,Immagini Generate\immagine_adv_45.jpg
46,6,"A full-body portrait of a confident woman in a pinstripe power suit, the jacket slightly oversized with strong shoulders, paired with a knee-length skirt. Underneath, a draped dark silk top adds a touch of understated luxury. Black sheer stockings and pointed-toe heels complete the look. The style is high-fashion editorial, with a focus on clean lines and sophisticated tailoring. Shot in a minimalist studio with soft, diffused lighting that highlights the texture of the fabrics. The background is a seamless white, creating a timeless and elegant atmosphere. ",2025-04-05 00:05:16,Immagini Generate\immagine_adv_46.jpg
47,7,"Full-body portrait of a confident Italian woman in her early forties, embodying eco-fashion elegance, standing on a minimalist runway. She wears a sleek, floor-length black slip dress with delicate spaghetti straps and subtle lace paneling at the lower part, paired with a dramatic, ethically sourced faux fur stole draped over her shoulders. The dress subtly accentuates her figure, projecting security and sophistication. The scene is lit with soft, diffused light, highlighting the textures of the fabrics and creating a timeless, editorial feel. The background is a muted, dark plum, providing a sophisticated contrast to the black outfit. The image is styled in the manner of a Giorgio Armani campaign, emphasizing understated luxury and sustainable fashion. ",2025-04-05 00:05:45,Immagini Generate\immagine_adv_47.jpg
48,8,"Full-body portrait of a confident woman in a sophisticated, eco-conscious fashion editorial, wearing a belted, high-neck jacket in a deep burgundy, sustainable leather alternative, cinched at the waist with a matching tie, paired with sleek black, wide-leg trousers; standing pose on a minimalist runway, holding a structured black handbag; soft, diffused lighting highlighting the textures of the garments, with a muted, earthy color palette; background of a dimly lit, modern art gallery with subtle architectural details. ",2025-04-05 00:06:35,Immagini Generate\immagine_adv_48.jpg
49,5,"A full-body portrait of a woman in a striking black leather strapless gown with a daring cutout at the midriff, complemented by matching long leather gloves, standing confidently against a backdrop of ancient Roman architecture, the soft, diffused light casting subtle shadows that accentuate the dress's texture, the scene evoking a sense of modern romanticism with a touch of rebellious elegance, fashion editorial style. ",2025-04-05 00:08:08,Immagini Generate\immagine_adv_49.jpg
50,6,"A full-body portrait of a woman in a pinstripe grey skirt suit, the oversized blazer draped open to reveal a dark brown, loosely knotted top underneath. She wears sheer black stockings and black pointed-toe heels. The style is high fashion with a touch of romanticism. Soft, diffused lighting enhances the textures of the fabrics. The background is a minimalist white runway, creating a stark contrast that highlights the outfit. The composition is balanced, capturing the model in motion, conveying freedom and originality.",2025-04-05 00:08:35,Immagini Generate\immagine_adv_50.jpg
51,7,"A full-body portrait of a woman in her forties, standing gracefully in a dimly lit, opulent ballroom. She is wearing a floor-length black silk slip dress with delicate spaghetti straps and a subtle V-neckline. The dress features a panel of intricate black lace that extends from mid-thigh to the hem, adding a touch of romantic allure. A luxurious, oversized black faux fur stole is draped loosely over her shoulders, lending an air of dramatic elegance. Her hair is styled in a soft, loose updo, and she wears dark, vintage-inspired sunglasses. The lighting is soft and moody, with a focus on highlighting the textures of the silk and fur. The background is a deep burgundy, creating a rich and sophisticated atmosphere. The overall style is reminiscent of a high-fashion editorial, blending classic elegance with a modern edge.",2025-04-05 00:09:03,Immagini Generate\immagine_adv_51.jpg
52,8,"A full-body portrait of a woman in a high-fashion editorial style, standing confidently on a runway. She is wearing a luxurious, dark burgundy patent leather wrap jacket with an oversized collar and a cinched waist tied with a matching belt, paired with sleek black flared trousers and dark, elegant heels. She carries a structured black leather handbag. The lighting is dramatic, with a spotlight emphasizing the glossy texture of the jacket. The background is a deep, moody gradient of burgundy and black, creating a romantic and sophisticated atmosphere. The overall aesthetic is bold, original, and effortlessly chic.",2025-04-05 00:09:38,Immagini Generate\immagine_adv_52.jpg
53,5,"A full-body portrait of a mature woman with short, elegant silver hair, standing confidently in a sun-drenched Italian courtyard. She wears a sophisticated, floor-length dress in a soft, celestial blue, crafted from a subtly textured, lightweight fabric that drapes gracefully. The dress features a high neckline and long, flowing sleeves, offering both comfort and style. Accessorized with delicate, blush-pink leather gloves and comfortable, yet chic, platform sandals in a matching shade of pink. The overall aesthetic is romantic and timeless, reminiscent of a classic Italian film, with soft, diffused lighting enhancing the serene and elegant atmosphere. The background includes weathered stone walls and lush greenery, adding to the scene's romantic charm. ",2025-04-05 13:41:40,Immagini Generate\immagine_adv_53.jpg
